,0
535,578.24
536,588.45
537,589.47
538,583.59
539,580.45
540,580.62
541,576.28
542,578.36
543,577.86
544,576.31
545,575.64
546,610.83
547,614.54
548,628.77
549,626.83
550,608.46
551,611.19
552,611.95
553,611.09
554,609.26
555,610.93
556,609.53
557,603.59
558,598.49
559,603.21
560,608.14
561,608.25
562,606.59
563,606.82
564,609.73
565,612.57
566,612.05
567,613.81
568,613.82
569,617.91
570,621.32
571,642.08
572,641.34
573,638.83
574,641.28
575,642.33
576,640.74
577,638.87
578,631.92
579,634.09
580,657.25
581,664.42
582,679.73
583,688.59
584,690.44
585,709.29
586,736.45
587,740.83
588,745.77
589,706.93
590,710.74
591,712.99
592,740.05
593,723.02
594,718.32
595,706.28
596,715.72
597,747.61
598,755.65
599,752.88
600,741.72
601,753.87
602,752.25
603,741.65
604,738.01
605,737.47
606,747.93
607,758.28
608,781.3
609,773.47
610,765.62
611,771.54
612,774.7
613,774.53
614,781.92
615,788.46
616,782.03
617,781.43
618,785.03
619,793.61
620,801.34
621,834.28
622,875.78
623,925.12
624,940.05
625,975.92
626,979.4
627,972.53
628,1044.08
629,1159.42
630,1191.1
631,1046.81
632,913.69
633,914.87
634,919.45
635,826.25
636,829
637,910.56
638,917.5
639,904.61
640,899.4
641,928.27
642,924.15
643,903.25
644,919.33
645,923.22
646,923.05
647,972.02
648,989.11
649,1013.52
650,1033.87
651,1044.64
652,1061.93
653,1078.97
654,1088.99
655,998.91
656,1002.1
657,1011.51
658,1008.84
659,1033.37
660,1053.17
661,1117.25
662,1125.39
663,1176.62
664,1200.39
665,1181.98
666,1193.25
667,1222.5
668,1262.13
669,1280.31
670,1276
671,1275.55
672,1232.16
673,1197.46
674,1270.47
675,1237.37
676,1244.81
677,1251.61
678,1257.98
679,1180.16
680,1063.03
681,1122.43
682,1120.65
683,1058.01
684,1040.47
685,1046.4
686,1064.65
687,1055.13
688,1049.29
689,1074.92
690,1151.74
691,1156.44
692,1135.09
693,1188.37
694,1186.58
695,1190.34
696,1208.07
697,1207.14
698,1205.89
699,1194.9
700,1217.57
701,1215.51
702,1240.79
703,1235.94
704,1250.94
705,1267.58
706,1294.83
707,1319.7
708,1331.28
709,1434.32
710,1473.9
711,1492.77
712,1608.91
713,1618.03
714,1723.35
715,1833.49
716,1788.44
717,1873.93
718,1856.15
719,1812.8
720,1785.94
721,1864.05
722,1904.48
723,2004.52
724,2303.9
725,2320.82
726,2523.72
727,2763.71
728,2573.79
729,2301.96
730,2311.08
731,2448.39
732,2488.55
733,2686.81
734,2999.91
735,2869.38
736,2815.3
737,2901.71
738,2997.26
739,2789.04
740,2786.83
741,2534.71
742,2539.92
743,2662.85
744,2763.45
745,2772.01
746,2723.74
747,2765.17
748,2423.71
749,2425.22
750,2363.25
751,2230.49
752,2387.61
753,2397.17
754,2900.7
755,2838.41
756,2777.26
757,2768.08
758,2610.76
759,2693.32
760,2897.45
761,2889.62
762,2921.35
763,2762.53
764,2813.31
765,2899.33
766,3397.68
767,3484.85
768,3422.76
769,3453.45
770,3679.72
771,4325.13
772,4455.97
773,4381.23
774,4484.7
775,4370.13
776,4109.14
777,4128.76
778,4255.78
779,4376.39
780,4455.7
781,4403.93
782,4625.68
783,4626.52
784,4736.05
785,4892.01
786,4427.84
787,4617.25
788,4655.04
789,4661
790,4261.67
791,4344.65
792,4131.98
793,3920.6
794,3733.45
795,4079.23
796,4094.07
797,4031.39
798,3916.42
799,3758.27
800,3950.25
801,3969.89
802,4210.05
803,4279.31
804,4214.63
805,4470.23
806,4432.47
807,4352.31
808,4362.64
809,4413.27
810,4878.71
811,4922.17
812,4873.73
813,5446.91
814,5840.3
815,5776.23
816,5800.35
817,5603.82
818,5744.35
819,6060.11
820,6075.59
821,5935.52
822,5754.33
823,5976.8
824,5988.39
825,6214.99
826,6470.43
827,6767.31
828,7367.33
829,7461.29
830,7445.77
831,7253.32
832,7776.42
833,7446.83
834,7312
835,6811.19
836,6764.98
837,7342.25
838,7967.38
839,8004.59
840,8336.86
841,8348.66
842,8302.26
843,8374.16
844,9818.35
845,10125.7
846,11517.4
847,10801
848,11046.7
849,11657.2
850,12032
851,14369.1
852,17899.7
853,18353.4
854,17513.9
855,17781.8
856,17653.1
857,17085.8
858,18154.1
859,19371
860,19177.8
861,17934.7
862,17567.7
863,15943.4
864,16461.2
865,16930.9
866,15888.4
867,15279
868,15444.6
869,15572.8
870,15739.7
871,17705.2
872,16537.9
873,15497.5
874,14973.3
875,15018.8
876,14229.9
877,13843.1
878,11678
879,12107.3
880,11992.8
881,11966.4
882,11377.6
883,11501.4
884,11785.7
885,11656.7
886,11875.6
887,11307.2
888,10381.6
889,10288.8
890,9142.28
891,8364.84
892,7850.7
893,8509.11
894,8558.77
895,8736.98
896,8985.92
897,8958.47
898,9518.54
899,10234.8
900,10324.1
901,11958.5
902,11418.5
903,11039.1
904,10487.3
905,10475
906,10878.5
907,11089.8
908,11052.3
909,11189
910,7178.11
911,6872.41
912,6968.32
913,7899.23
914,8183.96
915,8371.15
916,8285.96
917,8197.8
918,8298.69
919,8880.23
920,8958.55
921,9732.61
922,9745.32
