2,22046,1.3665,0.0098,1985.59
2,22248,1.3611,0.0098,1984.22
2,24425,1.3619,0.0099,1976.39
2,24542,1.3648,0.0099,1974.15
2,23242,1.3651,0.0099,1969.84
2,20939,1.3625,0.0099,1968.67
2,20287,1.364,0.0099,1979.85
2,25031,1.3628,0.0099,1982.52
2,21984,1.3575,0.0098,1983.94
2,23305,1.3541,0.0099,1981.8
2,25897,1.3535,0.0099,1979.91
2,18501,1.355,0.0099,1976.93
2,18386,1.3531,0.0099,1986.24
2,20612,1.3475,0.0099,1989.23
2,20448,1.3485,0.0099,1991.39
2,19971,1.3478,0.0098,1984.6
2,23384,1.3445,0.0098,1981.52
2,21797,1.3445,0.0098,1984.85
2,22092,1.3416,0.0098,1978.9
2,22160,1.3401,0.0097,1965.14
2,21585,1.3445,0.0098,1937.35
3,20609,1.3434,0.0098,1942.92
3,21073,1.3425,0.0098,1936.34
3,22471,1.3388,0.0098,1927.91
3,24516,1.3394,0.0098,1928.89
3,23126,1.3433,0.0098,1932.38
3,21388,1.3415,0.0098,1944.9
3,22551,1.3386,0.0098,1939.65
3,23725,1.3415,0.0098,1948.41
3,24887,1.3409,0.0098,1955.23
3,22725,1.3412,0.0098,1964.04
2,21867,1.34,0.0098,1971.99
2,24106,1.3366,0.0098,1982.57
2,26924,1.3327,0.0097,1988.57
2,22176,1.3289,0.0097,1994.76
2,21222,1.3298,0.0097,1993.54
2,19062,1.322,0.0096,2001.95
2,19596,1.3216,0.0096,2005.04
2,19625,1.3211,0.0096,2002.14
2,22229,1.3221,0.0097,1998.55
2,19838,1.3197,0.0096,2003.38
3,22901,1.3139,0.0096,2006.12
3,22113,1.3161,0.0095,2009.28
3,24968,1.3155,0.0095,2011.17
3,22368,1.2986,0.0096,2007.71
2,22751,1.2963,0.0095,2007.17
2,16169,1.2959,0.0094,2001.01
2,16616,1.2963,0.0094,1996.66
2,27367,1.2952,0.0094,1997.65
2,24097,1.298,0.0093,1996.74
2,23392,1.2982,0.0093,1987.18
2,21176,1.2995,0.0094,2002.28
2,27946,1.2982,0.0093,2010.74
2,21135,1.2931,0.0092,2012.34
2,20775,1.293,0.0092,2019.26
2,14984,1.2868,0.0092,2009.08
2,23489,1.2903,0.0092,1995.41
2,20675,1.2864,0.0092,1999.79
2,20757,1.2784,0.0092,1997.32
2,19512,1.2761,0.0092,1986.37
3,19660,1.2716,0.0092,1981.28
3,21073,1.2703,0.0092,1985.17
3,18636,1.264,0.0092,1971.44
3,18380,1.2698,0.0093,1952.32
3,20207,1.2676,0.0092,1971.19
2,25065,1.2677,0.0092,1977.84
2,22543,1.2683,0.0093,1962.36
2,24408,1.2749,0.0093,1970.36
2,24075,1.2792,0.0093,1967.68
2,19090,1.2716,0.0093,1936.98
2,22018,1.2762,0.0094,1912.09
2,25804,1.2769,0.0094,1898.71
2,23992,1.2886,0.0095,1874.18
2,24445,1.2847,0.0095,1876.01
2,21491,1.2837,0.0094,1898.16
